predict,p0,p1
1,0.2324557299804017,0.7675442700195982
0,0.9616969937646764,0.0383030062353237
1,0.3742880963320328,0.6257119036679671
1,0.2181183889403052,0.7818816110596948
1,0.2463635619808475,0.7536364380191525
1,0.3885930991027739,0.611406900897226
1,0.4503209383332625,0.5496790616667375
1,0.6331016622305341,0.3668983377694659
1,0.5428700910763886,0.4571299089236114
1,0.3763974567356313,0.6236025432643687
0,0.9897925951720024,0.0102074048279977
0,0.981847759531381,0.0181522404686189
1,0.3110833523447185,0.6889166476552815
0,0.9834245207462116,0.0165754792537884
1,0.2362716010172836,0.7637283989827164
1,0.4402215078485452,0.5597784921514548
0,0.9838761376500124,0.0161238623499874
0,0.9765556114601348,0.0234443885398651
1,0.5567613876684328,0.4432386123315672
0,0.9736262750428886,0.0263737249571113
1,0.5678949068021175,0.4321050931978825
0,0.9537864819907564,0.0462135180092436
1,0.5424050301907297,0.4575949698092703
1,0.0948146414716886,0.9051853585283114
0,0.7077996135426609,0.2922003864573391
1,0.1187399392177699,0.8812600607822301
1,0.1127871222133103,0.8872128777866897
0,0.833791496188719,0.166208503811281
1,0.4293142630609812,0.5706857369390188
0,0.987172872962835,0.012827127037165
0,0.7008887696349275,0.2991112303650725
0,0.970361082512912,0.029638917487088
1,0.5675548153918963,0.4324451846081037
0,0.9922106670520584,0.0077893329479415
1,0.4636252255191443,0.5363747744808557
1,0.4025426228220585,0.5974573771779415
1,0.3563482977706851,0.6436517022293149
0,0.9173953223335892,0.0826046776664107
1,0.4121231976698375,0.5878768023301625
1,0.3059431653170358,0.6940568346829642
0,0.990813712492968,0.0091862875070319
1,0.4529554580694693,0.5470445419305306
1,0.45760747459969,0.54239252540031
1,0.3638921602283393,0.6361078397716606
1,0.4969233481720333,0.5030766518279667
1,0.1370107157733959,0.862989284226604
0,0.976658978323752,0.023341021676248
0,0.6449366521422136,0.3550633478577863
1,0.2298355630730674,0.7701644369269326
1,0.4029991371191683,0.5970008628808317
0,0.7347494727847592,0.2652505272152408
1,0.3392788173795455,0.6607211826204544
1,0.335373836264724,0.6646261637352759
0,0.9869348146348932,0.0130651853651066
1,0.4837279331380381,0.5162720668619619
1,0.1964733348846441,0.8035266651153559
1,0.4409803726440547,0.5590196273559452
0,0.981693052330454,0.018306947669546
1,0.2753910115807653,0.7246089884192347
0,0.9899953346276316,0.0100046653723685
1,0.2892638629651348,0.7107361370348652
1,0.5605612915756961,0.4394387084243039
0,0.980722954228194,0.019277045771806
0,0.9497903988034458,0.0502096011965541
0,0.940472859000753,0.059527140999247
0,0.9754615255636644,0.0245384744363354
0,0.9223086397198312,0.0776913602801688
0,0.9954409229893972,0.0045590770106028
1,0.2616864594697999,0.7383135405302
1,0.3220248679214391,0.6779751320785609
0,0.917166648710248,0.0828333512897519
0,0.9566015006516384,0.0433984993483614
0,0.7867552034818481,0.2132447965181518
0,0.9379583588066192,0.0620416411933807
0,0.8446025650029485,0.1553974349970515
1,0.6174226923045776,0.3825773076954224
1,0.5599588457107515,0.4400411542892485
1,0.258331942636114,0.741668057363886
1,0.6261260237308011,0.3738739762691989
1,0.5352801999380802,0.4647198000619198
0,0.7041196741546935,0.2958803258453065
0,0.9471246170905582,0.0528753829094418
0,0.9407446340429132,0.0592553659570866
0,0.9803040478687096,0.0196959521312905
1,0.2708136400669777,0.7291863599330223
1,0.5445887331505257,0.4554112668494742
1,0.3852881651912698,0.6147118348087302
1,0.4966097673962251,0.5033902326037749
0,0.9530959601577912,0.0469040398422087
0,0.9903223995606292,0.0096776004393707
0,0.823962653622664,0.176037346377336
1,0.2698204314622808,0.7301795685377191
1,0.0994196651792006,0.9005803348207994
0,0.993108032043095,0.006891967956905
0,0.9940265918298716,0.0059734081701282
1,0.5638898003154873,0.4361101996845127
0,0.8507585321235522,0.1492414678764478
1,0.4585429090021543,0.5414570909978457
0,0.9744524207515288,0.0255475792484712
1,0.4115578635598875,0.5884421364401125
0,0.99547897509695,0.0045210249030499
1,0.3492929628975073,0.6507070371024927
0,0.963956758075124,0.0360432419248759
1,0.2075311685183217,0.7924688314816782
0,0.9848906491794406,0.0151093508205594
1,0.2904741270904091,0.7095258729095909
0,0.9683758139906012,0.0316241860093989
1,0.3379484511776397,0.6620515488223603
1,0.5561339327990333,0.4438660672009666
0,0.9807681226639494,0.0192318773360506
1,0.1900157756426771,0.8099842243573229
1,0.5089984316546314,0.4910015683453686
1,0.5570144417330689,0.4429855582669311
1,0.4302696349002074,0.5697303650997926
